PROJEKT;DB;GBYTES
107800;EIR12;4654
100000;CEM12;3403
460202;PSD12;1604
191030;EIR12;1304
130540;UHS12;1294
382000;SUM12;1180
191003;EIR12;1077
900001;PSD12;788
260206;PSD12;768
242904;GEO12;615
101200;PSD12;564
382000;BOY2;477
382000;BOY1;477
892505;ERH12;454
191001;EIR12;437
191001;EIS12;419
162902;EIR12;407
700001;PSD12;399
191000;EIR12;373
460202;ANT12;370
101200;PST12;355
191011;EIR12;348
892505;ERX12;299
242903;GEO12;293
191031;EIR12;289
892509;ERH12;285
892507;ERH12;282
520100;GEO12;238
520100;U1012;237
460203;PSD12;233
130560;UHS12;229
382000;SUT12;211
400600;PSD12;192
892551;WP1;185
191012;EIR12;182
892550;ERX12;175
892551;WT1;173
242901;ANT12;172
283000;PSD12;170
280450;PSD12;162
206810;PSD12;161
191012;EIS12;144
892550;ERC12;138
130550;ANT12;131
191002;EIR12;127
242905;GEO12;127
892505;ERT;123
900002;PSD12;116
214410;PSD12;115
804402;ERH12;112
242904;PST12;101
500300;PSD12;95
130500;XISPROD12;87
892508;ERX12;80
190741;XBRL;76
892550;ERH12;75
280600;PSD12;70
160402;PSD12;68
130520;UHS12;60
382000;BOT2;58
382000;BOT;58
892551;ERH12;58
075001;ANT12;57
892551;ERX12;54
242903;U1012;53
101500;PSD12;53
892551;WU1;52
242904;PS212;51
844130;ANT12;51
214410;PST12;50
242909;GEO12;50
280101;PSD12;49
280001;ERH12;48
162900;EIR12;47
370001;DST12;47
101300;PSD12;42
190201;DST12;41
218000;XISPROD12;41
101250;PSD12;41
191030;EIU12;39
892509;ERX12;39
191050;EIR12;37
460207;GEO12;37
242902;ANT12;35
101400;UHS12;35
159012;XISPROD12;34
101220;PSD12;34
892551;ERT;33
282170;PSD12;32
280300;PSD12;32
190740;XBRL;30
892505;ERC12;29
101001;UHS12;28
130500;ERH12;28
281769;PSD12;28
239550;ANT12;27
162900;ANT12;26
280801;PSD12;26
892517;ERH12;25
242903;PS212;22
260003;DST12;22
242910;PS212;21
239550;DMR12;21
584000;PSD12;20
370001;2UDV12;20
130555;UHS12;19
073101;PSD12;19
190201;ERT;19
161801;PSD12;19
101200;PS212;19
100610;PSD12;19
162902;EIU12;18
280803;PSD12;17
209020;PSD12;17
161900;PSD12;16
281700;PSD12;16
261216;XISTEST12;16
212900;XISPROD12;16
242905;PS212;16
460207;PSD12;16
190201;U1012;15
218000;XISTEST12;15
120100;XISPROD12;15
560001;DST12;15
181420;UHS12;14
163802;ANT12;14
261216;XISPROD12;14
242901;2UDV12;14
705967;XBRL;13
260003;XISPROD12;13
130540;PS212;13
130560;PS212;13
159012;DST12;12
